0.00075 0.02529296875 0.041015625	0.02509765625 1.158203125
0.000752 0.0248046875 0.03974609375	0.025 1.1572265625
0.000754 0.02490234375 0.04072265625	0.025390625 1.1591796875
0.000756 0.025 0.04033203125	0.025390625 1.158203125
0.000758 0.02490234375 0.040234375	0.0251953125 1.158203125
0.00076 0.025 0.040625	0.025 1.1572265625
0.000762 0.02509765625 0.0408203125	0.02529296875 1.158203125
0.000764 0.025 0.04052734375	0.02587890625 1.1611328125
0.000766 0.025 0.041015625	0.02509765625 1.158203125
0.000768 0.02451171875 0.0396484375	0.0248046875 1.158203125
0.00077 0.025 0.04052734375	0.02490234375 1.158203125
0.000772 0.0248046875 0.04033203125	0.02490234375 1.158203125
0.000774 0.0248046875 0.04013671875	0.02529296875 1.1591796875
0.000776 0.0248046875 0.04013671875	0.0248046875 1.1572265625
0.000778 0.025 0.04072265625	0.0251953125 1.1591796875
0.00078 0.024609375 0.03984375	0.02509765625 1.158203125
0.000782 0.0248046875 0.0400390625	0.02529296875 1.1591796875
0.000784 0.02490234375 0.04052734375	0.0251953125 1.158203125
0.000786 0.0248046875 0.04072265625	0.025 1.1572265625
0.000788 0.02490234375 0.04072265625	0.02490234375 1.1572265625
0.00079 0.0248046875 0.0404296875	0.0248046875 1.158203125
0.000792 0.0248046875 0.040234375	0.02421875 1.15625
0.000794 0.024609375 0.0404296875	0.02490234375 1.1572265625
0.000796 0.02412109375 0.03896484375	0.02490234375 1.158203125
0.000798 0.02470703125 0.04013671875	0.02490234375 1.158203125
0.0008 0.024609375 0.04013671875	0.0248046875 1.1572265625
0.000802 0.02490234375 0.04091796875	0.02490234375 1.158203125
0.000804 0.02470703125 0.04052734375	0.0248046875 1.158203125
0.000806 0.024609375 0.040234375	0.02470703125 1.1572265625
0.000808 0.024609375 0.04013671875	0.02431640625 1.15625
0.00081 0.024609375 0.040234375	0.02421875 1.1552734375
0.000812 0.0240234375 0.0384765625	0.0244140625 1.15625
0.000814 0.02451171875 0.03984375	0.02470703125 1.1572265625
0.000816 0.024609375 0.0400390625	0.02470703125 1.1572265625
0.000818 0.024609375 0.04013671875	0.024609375 1.1572265625
0.00082 0.02490234375 0.04072265625	0.0244140625 1.15625
0.000822 0.02451171875 0.04033203125	0.02421875 1.15625
0.000824 0.02451171875 0.04013671875	0.02373046875 1.154296875
0.000826 0.0244140625 0.0400390625	0.02431640625 1.15625
0.000828 0.02470703125 0.04033203125	0.0244140625 1.15625
0.00083 0.02421875 0.03935546875	0.0240234375 1.1552734375
0.000832 0.02431640625 0.03994140625	0.02451171875 1.15625
0.000834 0.024609375 0.04052734375	0.024609375 1.1572265625
0.000836 0.0244140625 0.0400390625	0.024609375 1.1572265625
0.000838 0.02431640625 0.03984375	0.02451171875 1.1572265625
0.00084 0.0244140625 0.04013671875	0.02353515625 1.1533203125
0.000842 0.0248046875 0.04052734375	0.02421875 1.15625
0.000844 0.02529296875 0.0419921875	0.02431640625 1.15625
0.000846 0.02470703125 0.04072265625	0.02431640625 1.15625
0.000848 0.02431640625 0.03974609375	0.024609375 1.1572265625
0.00085 0.02421875 0.03984375	0.02451171875 1.1572265625
0.000852 0.02431640625 0.03984375	0.02421875 1.15625
0.000854 0.0244140625 0.03994140625	0.0244140625 1.1572265625
0.000856 0.02431640625 0.03994140625	0.0240234375 1.1552734375
0.000858 0.02451171875 0.04072265625	0.02392578125 1.1552734375
0.00086 0.024609375 0.040625	0.02412109375 1.1572265625
0.000862 0.02431640625 0.04013671875	0.02431640625 1.1572265625
0.000864 0.02421875 0.03984375	0.02421875 1.15625
0.000866 0.02421875 0.03994140625	0.0244140625 1.1572265625
0.000868 0.0240234375 0.03955078125	0.02509765625 1.16015625
0.00087 0.02431640625 0.0400390625	0.0248046875 1.1591796875
0.000872 0.02451171875 0.0408203125	0.02421875 1.1572265625
0.000874 0.02421875 0.03994140625	0.0240234375 1.1552734375
0.000876 0.02392578125 0.03916015625	0.0240234375 1.15625
0.000878 0.0240234375 0.0396484375	0.02421875 1.15625
